region,LGA,count,median,year,month,quarter,type,bedroom,LGA_Code
Hume,Moira,153.0,260.0,2018,Sep,3.0,all,,24900.0
Hume,Murrindindi,51.0,280.0,2018,Sep,3.0,all,,25620.0
Hume,Strathbogie,51.0,285.0,2018,Sep,3.0,all,,26430.0
Hume,Towong,11.0,260.0,2018,Sep,3.0,all,,26670.0
Hume,Wangaratta,164.0,290.0,2018,Sep,3.0,all,,26700.0
Hume,Wodonga,340.0,310.0,2018,Sep,3.0,all,,27170.0
Hume,Group Total,1652.0,300.0,2018,Sep,3.0,all,,
Gippsland,Bass Coast,163.0,310.0,2018,Sep,3.0,all,,20740.0
Gippsland,Baw Baw,255.0,330.0,2018,Sep,3.0,all,,20830.0
Gippsland,East Gippsland,243.0,290.0,2018,Sep,3.0,all,,22110.0
Gippsland,Latrobe,567.0,245.0,2018,Sep,3.0,all,,23810.0
Gippsland,South Gippsland,118.0,270.0,2018,Sep,3.0,all,,26170.0
Gippsland,Wellington,287.0,260.0,2018,Sep,3.0,all,,26810.0
Gippsland,Group Total,1633.0,275.0,2018,Sep,3.0,all,,
